Rows,MAE,RMSE,MedAE,R2,MAE_L5,MAE_STD,Skill_L5,Skill_STD,Player,Model,File
66,5.7245759952578155,7.57073585546328,4.604026367081438,-0.0788319166415361,6.127272727272727,5.783923039787748,6.572201857810134,1.0260690559276586,Giannis Antetokounmpo,MLP,MLP\Giannis\giannis_mlp_2024_25_predictions.csv
66,5.7245759952578155,7.57073585546328,4.604026367081438,-0.0788319166415361,6.127272727272727,5.783923039787748,6.572201857810134,1.0260690559276586,Giannis Antetokounmpo,MLP,artifacts\2024-25\giannis\giannis_mlp_2024_25_predictions.csv
66,5.7245759952578155,7.57073585546328,4.604026367081438,-0.0788319166415361,6.127272727272727,5.783923039787748,6.572201857810134,1.0260690559276586,Giannis Antetokounmpo,MLP,giannis_mlp_2024_25_predictions.csv
71,6.45979009369809,7.7626119857001346,5.8986845469525555,-0.049849339323347674,6.532394366197183,6.549194140579346,1.1114496221292791,1.3651152334498873,Jayson Tatum,SVR-RBF,SVR\Tatum\tatum_svr_2024_25_predictions.csv
71,6.45979009369809,7.7626119857001346,5.8986845469525555,-0.049849339323347674,6.532394366197183,6.549194140579346,1.1114496221292791,1.3651152334498873,Jayson Tatum,SVR-RBF,artifacts\2024-25\tatum\tatum_svr_2024_25_predictions.csv
71,6.45979009369809,7.7626119857001346,5.8986845469525555,-0.049849339323347674,6.532394366197183,6.549194140579346,1.1114496221292791,1.3651152334498873,Jayson Tatum,SVR-RBF,tatum_svr_2024_25_predictions.csv
71,6.9929002002033585,8.370714006023382,6.040683719652563,-0.22077669654513477,6.532394366197183,6.549194140579346,-7.049571844423985,-6.774971853021938,Jayson Tatum,RandomForest,RandomForest\Tatum\tatum_randomforest_2024_25_predictions.csv
71,7.135839430032,8.676233394932389,5.871445564693239,-0.3115162463262928,6.532394366197183,6.549194140579346,-9.237731680093141,-8.957518694059651,Jayson Tatum,ElasticNet,ElasticNet\Tatum\tatum_elasticnet_2024_25_predictions.csv
71,7.456964006259781,8.710424823657558,7.0,-0.32187349939482957,6.532394366197183,6.549194140579346,-14.153610272627093,-13.860787238781302,Jayson Tatum,Knn,KNN\Tatum\tatum_knn_2024_25_predictions.csv
18,7.846576477336076,9.519618448937383,8.065933118222354,-0.23551003046181673,7.988888888888888,8.447896194219725,1.7813792823022312,7.117981839017951,Joel Embiid,SVR-RBF,SVR\Embiid\embiid_svr_2024_25_predictions.csv
18,7.846576477336076,9.519618448937383,8.065933118222354,-0.23551003046181673,7.988888888888888,8.447896194219725,1.7813792823022312,7.117981839017951,Joel Embiid,SVR-RBF,artifacts\2024-25\embiid\embiid_svr_2024_25_predictions.csv
18,7.846576477336076,9.519618448937383,8.065933118222354,-0.23551003046181673,7.988888888888888,8.447896194219725,1.7813792823022312,7.117981839017951,Joel Embiid,SVR-RBF,embiid_svr_2024_25_predictions.csv
49,6.877545605471626,8.51727749413744,5.437904761904772,-0.05960689989687662,7.195918367346939,7.247659906523555,4.424352051018243,5.106673130713435,Luka Doncic,RandomForest,RandomForest\Doncic\doncic_randomforest_2024_25_predictions.csv
49,6.877545605471627,8.51727749413744,5.437904761904779,-0.05960689989687662,7.195918367346939,7.247659906523555,4.424352051018232,5.106673130713424,Luka Doncic,RandomForest,doncic_randomforest_2024_25_predictions.csv
49,6.877545605471629,8.51727749413744,5.437904761904768,-0.05960689989687662,7.195918367346939,7.247659906523555,4.42435205101821,5.106673130713402,Luka Doncic,RandomForest,artifacts\2024-25\doncic\doncic_randomforest_2024_25_predictions.csv
69,7.274714287419575,9.835580509618172,5.628123913493539,-0.13101685550607067,7.915942028985507,7.5495832911157095,8.100460301730006,3.6408500058486504,Nikola Jokic,ElasticNet,ElasticNet\Jokic\jokic_elasticnet_2024_25_predictions.csv
69,7.274714287419575,9.835580509618172,5.628123913493539,-0.13101685550607067,7.915942028985507,7.5495832911157095,8.100460301730006,3.6408500058486504,Nikola Jokic,ElasticNet,artifacts\2024-25\jokic\jokic_elasticnet_2024_25_predictions.csv
69,7.274714287419575,9.835580509618172,5.628123913493539,-0.13101685550607067,7.915942028985507,7.5495832911157095,8.100460301730006,3.6408500058486504,Nikola Jokic,ElasticNet,jokic_elasticnet_2024_25_predictions.csv
75,6.199184893327815,8.04970053592542,4.572382796738161,-0.14613489591398054,6.165333333333333,5.782743190417583,-0.5490629324364615,-7.201455938771506,Shai Gilgeous-Alexander,ElasticNet,ElasticNet\SGA\sga_elasticnet_2024_25_predictions.csv
75,6.199184893327815,8.04970053592542,4.572382796738161,-0.14613489591398054,6.165333333333333,5.782743190417583,-0.5490629324364615,-7.201455938771506,Shai Gilgeous-Alexander,ElasticNet,artifacts\2024-25\sga\sga_elasticnet_2024_25_predictions.csv
75,6.199184893327815,8.04970053592542,4.572382796738161,-0.14613489591398054,6.165333333333333,5.782743190417583,-0.5490629324364615,-7.201455938771506,Shai Gilgeous-Alexander,ElasticNet,sga_elasticnet_2024_25_predictions.csv
75,6.515076890435032,8.344794785011103,5.485190635307809,-0.2317075664033985,6.165333333333333,5.782743190417583,-5.672743681364056,-12.664122820307465,Shai Gilgeous-Alexander,MLP,MLP\SGA\sga_mlp_2024_25_predictions.csv
75,7.257465123120807,9.687243360720482,5.590445349450583,-0.6598800590705267,6.165333333333333,5.782743190417583,-17.714075310134202,-25.502116973600742,Shai Gilgeous-Alexander,Hgb,HistGradiant\SGA\sga_hgb_2024_25_predictions.csv
75,7.342540026390613,9.563673510966586,5.981849263408872,-0.6178034992548975,6.165333333333333,5.782743190417583,-19.093966691024235,-26.973302887766557,Shai Gilgeous-Alexander,SVR-RBF,SVR\SGA\sga_svr_2024_25_predictions.csv
75,7.481152479677711,9.886156704699761,5.196239867959989,-0.7287463160209147,6.165333333333333,5.782743190417583,-21.34222231311167,-29.37030459997796,Shai Gilgeous-Alexander,RandomForest,RandomForest\SGA\sga_randomforest_2024_25_predictions.csv
